title,link,descrip,date
Falling object from tower crane,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Ffalling-object-from-tower-crane&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D83310&auth=%2BO1eZq2kmvbdjeOlJ6A9Ww&profile=_default&rank=14&query=%21padrenull,"In July 2021, WHSQ was advised of a tower crane incident where a climbing frame guide roller assembly, four bolts and two shim plates fell to the ground.",10 September 2021
Worker seriously injured in fall from roof,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-seriously-injured-in-fall-from-roof&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D83154&auth=WMienCkG1bAH8BDm4Ds%2F9w&profile=_default&rank=15&query=%21padrenull,"In August 2021, a worker was seriously injured after falling approximately 6m from a roof through a polycarbonate skylight. It appears he was removing and installing polycarbonate sheeting from the warehouse roof during ad-hoc maintenance.",8 September 2021
Worker killed by falling branch while felling trees,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-killed-by-falling-branch-while-felling-trees&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D82976&auth=ORdnkEpdTmw7tK3wb0rMYw&profile=_default&rank=16&query=%21padrenull,"In July 2021, a worker was felling trees in a forest plantation when he was struck and fatally injured by a tree limb. It appears the tree the worker was felling struck a separate dead tree and a branch from that tree fell and struck him.",7 September 2021
Truck driver exposed to phosphine gas,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Ftruck-driver-exposed-to-phosphine-gas&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D82363&auth=98IaGku5baXy3sa0sNzl7g&profile=_default&rank=17&query=%21padrenull,"In July 2021, a truck driver began feeling very unwell after transporting grain to a feedlot with his semi-trailer. It appears the worker was exposed to a fumigant that produced phosphine gas which is commonly used to control insect infestations in grain.",23 August 2021
Worker killed by piece of metal ejected from unguarded angle grinder,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-killed-by-piece-of-metal-ejected-from-unguarded-angle-grinder&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D79852&auth=NGaTq3CSWPDrNzrt%2B3BCkg&profile=_default&rank=18&query=%21padrenull,"In June 2021, a worker died from injuries sustained while he was using a 9-inch (230mm) angle grinder to cut the base of a structural steel member at a commercial construction site in Brisbane. It appears a small metal shard was violently ejected from the cutting work and struck his neck. No guarding was fitted to the angle grinder at the time.",11 August 2021
Worker seriously injured in construction site fall,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-seriously-injured-in-construction-site-fall&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D79701&auth=x7mbb5qSRldCC7wCBLF%2Fww&profile=_default&rank=19&query=%21padrenull,"In June 2021, a worker suffered serious facial and rib injuries when he fell 3.3 metres from a second story sub-floor level to the first story sub-floor level at a construction site.",11 August 2021
Palfinger stabiliser locking system,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2021%2Fpalfinger-stabiliser-locking-system&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D78640&auth=GX1tuet5celboU9xOifasg&profile=_default&rank=20&query=%21padrenull,"The purpose of this safety alert is to highlight the risk of unintentional extension of stabilisers on vehicle loading cranes (VLCs) and, in particular the operation of the stabiliser locking system on some models of Palfinger vehicle loading cranes (VLCs).",19 July 2021
Worker suffers electric shock forming concrete slab,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-suffers-electric-shock-forming-concrete-slab&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D77482&auth=tg7Adk4j%2FN70051Frr7kTw&profile=_default&rank=21&query=%21padrenull,"In May 2021, a worker received an electric shock while he was preparing to form up a concrete slab next to an existing structure.",1 July 2021
Contractor seriously injured by wetting auger,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fcontractor-seriously-injured-by-wetting-auger&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D76847&auth=PQyctqUpmhbMRklGANg%2Fog&profile=_default&rank=22&query=%21padrenull,"In April 2021, a contractor suffered multiple fractures, degloving and severe lacerations to his arms when he was trapped in a wetting auger at a feedlot.",15 June 2021
Mobile crane rollover at residential construction site,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fmobile-crane-rollover-at-residential-construction-site&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D76666&auth=RGgY4qqxGzprkxm7TvYuLw&profile=_default&rank=23&query=%21padrenull,"In April 2021, a mobile crane tipped over at a residential construction site falling onto three houses. No one was injured. The mobile crane was a hydraulic slewing crane with a maximum rated capacity of 80 tonnes.",14 June 2021
Skid steer loader incidents,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fskid-steer-loader-incidents&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D76377&auth=%2BppwcapMvLofCJgLt5jHAQ&profile=_default&rank=24&query=%21padrenull,"In April 2021, a worker was killed when he was struck by the skid steer loader he was operating. Early investigations indicate the skid steer loader was being used to repair a residential driveway and it struck the worker after he fell out of the machine.",8 June 2021
Diving tower edge protection,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2021%2Fdiving-tower-edge-protection&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D75581&auth=WfrVLfMtqPfsYVo3Y1wb5w&profile=_default&rank=25&query=%21padrenull,This safety alert highlights the risk of falls from diving tower structures and provides guidance on risk controls. It applies to parts of diving towers where there is a risk of someone falling onto a solid structure below. It does not apply to parts of diving towers directly above water.,19 May 2021
Failures of concrete pump delivery pipeline end fittings and hoses,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2021%2Ffailures-of-concrete-pump-delivery-pipeline-end-fittings-and-hoses&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D74624&auth=ufrzEyhi10KEoucZrNHxHg&profile=_default&rank=26&query=%21padrenull,This safety alert highlights the risk of failure of concrete pump delivery lines including failures of end fittings.,21 April 2021
Worker seriously injured after fall from roof,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-seriously-injured-after-fall-from-roof&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D74565&auth=jUsHSytYBbHpARimGHW7Ww&profile=_default&rank=27&query=%21padrenull,"In March 2021, a worker suffered serious injuries when he fell approximately six metres through a roof after walking on an old skylight panel that had previously been covered. It appears the void cover plate was held in place by pop rivets.",20 April 2021
Workers struck by mobile plant,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2FWorkers-struck-by-mobile-plant&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D74170&auth=lwxa1aGnRlxNtS%2Bl5IxD9A&profile=_default&rank=28&query=%21padrenull,"In January 2021, a worker on a private property was fatally injured when a telehandler ran over him. Early investigations show the telehandler was loading a crop-dusting plane with fertiliser at a private airstrip on the property when the operator reversed it over a worker.",13 April 2021
Forklift operator seriously injured by falling pallet,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fforklift-operator-seriously-injured-by-falling-pallet&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D74214&auth=8vhpqeChUsxhMOx0eCWeEg&profile=_default&rank=29&query=%21padrenull,"In February 2021, a warehouse facility worker was seriously injured when several pallets fell onto the forklift he was operating.",8 April 2021
Fake disposable respiratory protective equipment,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2020%2Fmobile-concrete-placing-boom-stability-fake-disposable-respiratory-protective-equipment&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D74005&auth=8FQ0ARCCBxugA0JJa%2FiKRg&profile=_default&rank=30&query=%21padrenull,The purpose of this safety alert is to assist businesses in identifying fake (non-certified) respirators and highlight the risks associated with using them.,31 March 2021
Arc flash incidents,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Farc-flash-incidents&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D73151&auth=0p5WFKeVydAc1EPf%2BVYbLg&profile=_default&rank=31&query=%21padrenull,"In January 2021, two electrical workers suffered burns following an arc flash. They were working in a switch room with an LV main switchboard. Initial enquiries indicate electrical work was being done on the switchboard metering when the incident occurred.",5 March 2021
Water truck operator killed after being thrown from cab,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fwater-truck-operator-killed-after-being-thrown-from-cab&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D73081&auth=0jbnCRA6e1d93h0NpR4x5Q&profile=_default&rank=32&query=%21padrenull,"In January 2021, a water truck operator was working on a civil construction job when the vehicle rolled over. He suffered fatal injuries after being thrown from the cab and trapped underneath the truck.",4 March 2021
Tractor incidents,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Ftractor-incidents&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D72846&auth=HEai20t9uEopnp%2Byfb0D2g&profile=_default&rank=33&query=%21padrenull,"In January 2021, a farmer died when the tractor he was operating struck a log and rolled. The farmer had been using the tractor to pull out a bogged car and do some spraying. He was thrown from the tractor when it rolled and was trapped underneath the rear mounted chemical tank.",1 March 2021
Worker killed in industrial shredding machine incident,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-killed-in-industrial-shredding-machine-incident&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D72331&auth=g4Dhhq5jhtNNKyryS7jITg&profile=_default&rank=34&query=%21padrenull,"In January 2021, a worker was killed while operating an industrial shredding machine used to process bulk waste building materials.",17 February 2021
Worker falls from forklift,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-falls-from-forklift&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D72297&auth=sQOfYgBSwHmWngJa7DUa6A&profile=_default&rank=35&query=%21padrenull,"In December 2020, a worker suffered serious injuries when he fell from a forklift. Early investigations indicate he was attempting to repair a jammed roller door. The man was working from a stillage container being used as a makeshift work box and had been lifted on the tines of a forklift. It appears that as the worker moved to one side of the crate it overbalanced causing him (and the crate) to fall almost 5 metres.",16 February 2021
Worker fatally injured attempting to jump start a tractor,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2FWorker-fatally-injured-attempting-to-jump-start-a-tractor&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D72318&auth=gyJAwBfG9nBnBY36zyIyNw&profile=_default&rank=36&query=%21padrenull,"In December 2020, a worker suffered serious injuries when he fell from a forklift. Early investigations indicate he was attempting to repair a jammed roller door. The man was working from a stillage container being used as a makeshift work box and had been lifted on the tines of a forklift. It appears that as the worker moved to one side of the crate it overbalanced causing him (and the crate) to fall almost 5 metres.",16 February 2021
Person falls from tank,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fperson-falls-from-tank&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D71536&auth=zaiECx3%2BfMsVACIYJJ6aLw&profile=_default&rank=37&query=%21padrenull,"In November 2020, a man sustained serious head injuries after falling from a water tank that had just been put in place by a vehicle loading crane. It appears he was standing on the tank close to the crane.",20 January 2021
Falling building materials,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2020%2Ffalling-building-materials&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D70714&auth=jEHBLzV2PPlzHyC82yJpMg&profile=_default&rank=38&query=%21padrenull,"In November 2020, glass balustrading from a high-rise balcony shattered and fell onto a ground level building access way. Initial enquiries indicate building rectification work was being done on the balcony at the time.",24 December 2020
Fatal quad bike incidents involving farm workers,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2020%2Ffatal-quad-bike-incidents-involving-farm-workers&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D70662&auth=Ak4q91kaXCB9%2BM8fVAID5A&profile=_default&rank=39&query=%21padrenull,Two tragedies on farms in the past six months have again highlighted the dangers of quad bikes.,23 December 2020
Worker struck by moving truck,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2020%2Fworker-struck-by-moving-truck&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D70617&auth=HuCreG1y3Goxe705O289XA&profile=_default&rank=40&query=%21padrenull,"In November 2020, a worker was seriously injured when he was run over by a truck while clearing debris caught underneath it.",21 December 2020
Workers caught in conveyor belt system,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2020%2Fworkers-caught-in-conveyor-belt-system&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D69241&auth=CxuTjj%2FVq1cj9WBLxxE2hg&profile=_default&rank=41&query=%21padrenull,"In October 2020, a worker suffered serious arm injuries when he was caught in a conveyor belt system. In a separate incident, a young worker received significant degloving injuries to both hands after being pulled into a conveyor system.",30 November 2020
Falls from height result in serious injuries,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2020%2Ffalls-from-height-result-in-serious-injures&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D69216&auth=DeU2%2BNeIqcbMg%2Bz9Dt%2Bz2w&profile=_default&rank=42&query=%21padrenull,"Two recent incidents where workers have suffered serious injuries have highlighted the dangers of falls from height. In August 2020, a man sustained serious injury when he fell approximately 2m from a ladder while working at a residential property. Early enquiries indicate he was using a ladder to access the roof area. In a separate incident a month late, a worker fell approximately 3.4m at a construction site. It appears he was helping unload building materials from an elevated position of a partially built structure.",26 November 2020
Snorkelling fatality,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2020%2Fsnorkelling-fatality&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D69193&auth=ogktlFJM2dBTugctwq8Wow&profile=_default&rank=43&query=%21padrenull,"In October 2020, a woman was on a guided snorkel tour when she apparently panicked and needed to be taken back to the main vessel. However, on the rescue tender she lapsed into unconsciousness.",26 November 2020
Patron injured falling from amusement ride,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2020%2Fpatron-injured-falling-from-amusement-ride&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D68911&auth=SGvSRPK94HzXtvwSA71vKQ&profile=_default&rank=44&query=%21padrenull,"In October 2020, a woman suffered serious injuries when she fell from an amusement ride known as the “Hangover”. There are many potential risks associated with operating amusement devices.",23 November 2020
