date,crime,zone,summary,pio
"December 24, 2019",Aggravated Assault,Zone 2,"Pittsburgh Bureau of Police officers arrested a Baltimore man after he caused a disturbance at the Amtrak station Downtown and bit two police officers. Zone 2 officers responded to the station on the 1100 block of Liberty Avenue around 2:45 a.m. for a report of a disorderly male. The male had become irate after he asked an Amtrak employee for a cigarette and the employee did not have cigarettes. The male yelled at a ticket seller and punched the window separating them, then paced the lobby angrily while talking to himself. Officers told the male he had to leave the station, but the male refused to leave. When officers began escorting him outside, the male resisted. During a struggle, the male bit two officers. Officers deployed a taser on the male and eventually got him into custody. Deandre McCrary, 39, of Baltimore, Maryland was transported to the Allegheny County Jail on charges of aggravated assault (two counts), trespassing and resisting arrest. The officers who were bitten who treated and released at UPMC Mercy.",Chris Togneri
"April 6, 2020",Shots Fired,Zone 3,"Pittsburgh Police officers responded to a Shotspotter alert for the 3000 block of Arlington Avenue on Monday, April 6, 2020 around 11:50 p.m. Responding officers from Zone 3 discovered a vehicle stuck by rounds along with two victims on the 3200 block of Arlington Avenue. The male and female stated they were shot at by another vehicle. The female suffered a gunshot wound to the face and chest. The male was struck in the left arm. Both victims were transported by medics in stable condition. There are no suspect descriptions or direction of flight. Police are investigating.",Maurice Matthew
"July 5, 2020",Shooting,Zone 5,"Pittsburgh Police from Zone 5 responded to a call for a possible gunshot victim on the 100 block Shetland Street just before 4 a.m. on July 5. Upon arrival, officers witnessed an unresponsive male lying in the street with suspected gunshot wounds. EMS transported him to the hospital in critical condition. He was later pronounced deceased. The Mobile Crime Unit responded to process the scene. Police continue to investigate.",Cara Cruz
"June 3, 2021",UCR Statistics,City Wide,"The Pittsburgh Bureau of Police has released its April 2021 Uniform Crime Report (UCR) statistics sheets city-wide and for all six police zones. The statistics, which cover from April 1, 2021 to April 30, 2021, are prepared by the Crime Analysis Unit. The stats show that overall crime incidents were down 20% from the month prior, however they rose 38% year-over-year. Overall crime incidents are also down almost 14% compared to the 5-year average for April. See graphics below for further detail and descriptions of Part 1 and Part 2 coded crimes.",Maurice Matthew
"October 7, 2019",Fire,Zone 1,"Just before 1 a.m. on October 7, Pittsburgh Police officers from Zone 1 and Pittsburgh Bureau of Fire responded to the intersection of Tony Dorsett Drive and W. General Robinson Street for a report of multiple portable toilets on fire. Fire Engine 32 arrived to extinguish the fire. When officers arrived on scene they found that seven toilets had been burned to the ground, while an eighth had been severely damaged, rendering it unusable. No one was hurt. The Fire Investigation Unit, which is made up of investigators from Pittsburgh Fire and detectives from Pittsburgh Police, was on scene to investigate the exact origin of the fire. Police arrested Kevin Bankhead, 31, of Pittsburgh not far from the scene. He is charged with: Criminal Mischief (2 counts), Arson/Dangerous Burning (1 count) and Defiant Trespasser (1 count). Bankhead is currently being held at Allegheny County Jail.",Cara Cruz
"June 19, 2021",Shooting,Zone 5,Pittsburgh Police from Zone 5 responded to a Shotspotter alert for shots fired in the 7100 block of Frankstown Avenue just after 12:30 p.m. Officers located two male victims with gunshot wounds and applied tourniquets to stem the bleeding. Medics transported both victims to the hospital in stable condition. Detectives from the Violent Crime and Crime Scene units responded to investigate. The investigation is ongoing.,Cara Cruz
"April 16, 2020",Shooting,Zone 2,Pittsburgh Bureau of Police officers responded to a ShotSpotter alert and 911 calls for shots fired on the 1800 block of the Boulevard of the Allies around 12:45 p.m. Per the initial investigation: Two vehicles were heading inbound on the Boulevard of the Allies when multiple shots were fired from at least one of the vehicles. Zone 2 officers found a disabled SUV that had been struck by bullets at the intersection of Forbes Avenue and Gist Street. A driver and passenger in the vehicle were not injured. The second vehicle continued towards Downtown and has not been located. There are no known injuries. Police are investigating.,Chris Togneri
"May 15, 2021",Rescue,Zone 6,"Shortly before 9 a.m., a Pittsburgh Bureau of Police officer from Zone 6, spotted a vehicle along railroad tracks on the 2900 block of W Carson Street. The officer walked over noticed a male driver and female passenger inside of the vehicle. Police shutdown one lane of W Carson Street to traffic while checking on the victims. Pittsburgh EMS, and Pittsburgh Firefighters arrived on the scene to extricate the elderly couple inside. Medics from Rescue 1 and firefighters extricated the victims and carried them over the railing. Both were transported in stable condition to a local hospital to be evaluated. Police believe the vehicle may have entered the CSX rails from a service road in McKees Rocks.",Maurice Matthew
"August 23, 2019",Criminal mischief,Zone 5,Pittsburgh Bureau of Police seek the public’s help in identifying two males wanted for theft and criminal mischief in Bloomfield in the early morning hours of Aug. 23. Anyone with information on the identities or whereabouts of the two males pictured below is asked to call Zone 5 Detectives at (412) 665-3605.,Chris Togneri
"January 24, 2020",Hit and Run,Zone 1,,Cara Cruz
"September 13, 2020",Shooting,Zone 3,Police and EMS responded to a male shot on the 1700 block of Arlington Avenue around 1:20 a.m. A Zone 3 officer was flagged down by a citizen and directed to a male in the driveway of the American Legion. The victim suffered a gunshot wound to his side. The officer rendered aid and notified EMS. Medics arrived and transported the victim to a local hospital in critical condition. There were no other reported injuries or suspect descriptions. The Mobile Crime Unit processed the scene and the investigation is ongoing.,Maurice Matthew
"May 10, 2019",Protest,Zone 4,"Pittsburgh Bureau of Police officers responded to 911 calls from Whole Foods on the 5800 block of Centre Avenue for a report of protesters inside the store and customers unable to exit around 5:30 p.m. Officers from Zones 4 and 5 responded and protesters exited the store. The protest was peaceful. There were no arrests, injuries or incidents.",Chris Togneri
"September 24, 2020",Vehicle v Pedestrian,Zone 5,"-- As a result of witness cooperation, police were able to identify and locate the driver and her vehicle Thursday night. Rochell Brewton, 23, of East Hills will be charged via summons with causing an accident resulting in injury while not licensed. Note: The victim was a 35-year-old female. Original reports from the scene that the victim was 14 were incorrect. The victim suffered a concussion and was confused, but was transported in stable condition.",Chris Togneri
"July 27, 2019",Stabbing,Zone 3,"Pittsburgh Bureau of Police officers responded to a report of a male stabbed around 11 p.m. on the 2600 block of Library Road. Zone 3 officers arrived, immediately encountered a large crowd outside a business, then observed a male with a stab wound in a parking lot. Police were alerted to a second stabbing victim on a nearby patio. A third victim was also found on scene. Medics arrived on scene and treated/transported all three victims. The victims were all males. One victim had a stab wound to his leg and was transported in stable condition. One victim had a stab wound to his back and was transported in stable condition. One victim had stab wounds to his hands and torso and was transported in critical condition. Police interviewed witnesses who said an altercation inside a local business escalated into a fight and stabbing outside the business. No arrests at this time. Police are investigating.",Chris Togneri
"June 25, 2021",Shooting,Zone 1,"Pittsburgh Police responded to a Shotspotter alert for 10-rounds fired on the 1700 block of Belleau Drive around 12:35 a.m. Responding Zone 1 officers arrived and found evidence of the shooting. While investigating the scene, police were notified of a gunshot victim that arrived to a nearby hospital by a private vehicle. The male victim was last listed in critical condition. The Mobile Crime Unit and detectives arrived to process the scene. The investigation is still ongoing.",Maurice Matthew
"September 26, 2019",Shooting,Zone 6,Pittsburgh Police officers from Zone 6 responded to a ShotSpotter alert of shots fired in the area of Crucible Street and Woodlow Street just before 9:15 p.m. When they arrived on scene they discovered a male victim in his early 20's with multiple gunshot wounds. He was transported by EMS to a local hospital in stable condition. GVI detectives and the Crime Scene Unit processed the scene. The investigation continues.,Cara Cruz
"July 7, 2020",Carjacking,Zone 2,Pittsburgh Police received a report of a robbery near the intersection of Wooster Street and Ishar Way around 9:10 p.m. Responding Zone 2 officers met with a delivery driver at the intersection. The driver states a suspect pointed a weapon at him. The suspect along with three others fled towards an unknown direction in the victim’s vehicle. The vehicle was located a little over 30-minutes later on the 1900 block Bedford Avenue with no occupants inside. Police are investigating.,Maurice Matthew
"August 17, 2019",Graffiti,Zone 2,"Pittsburgh Police officers from Zone Two responded to reports that two males were spray painting a structure at 3340 Liberty Avenue, the Iron City Brewing Company building, at 5:15 p.m. on August 17. When officers arrived on scene at the back of the building, they came across two males facing the wall with a spray paint can at the foot of one of the suspects. There was also a gallon bucket of light blue paint, a paint roller with light blue paint on it, and a white plastic bag full of spray paint cans right next to a fresh graffiti tag on the wall. When officers approached the males they noticed both had a large amount of light blue paint on their hands. When asked, they told the officers they found the paint. The two males were detained at the scene. When searched, each had more graffiti paraphernalia on his person. As officers tried to locate the building's owner, they discovered a third male hiding in the bushes. He told officers he was just sleeping, but he also had light blue paint on his hands, as well as a metal edging tool on his person. He was also detained. The building's owner expressed that he would like to file charges. Luke Montes, 29, of Providence, RI, Jesse Keating, 29, of Hardwick, NJ, and Kevin Mullane, 25, of Philadelphia, PA have each been charged with Criminal Mischief and Possessing Instruments of Crime.",Cara Cruz
"May 18, 2021",Fire,Zone 2,"UPDATE: 6/3/21 The Fire Investigation Unit has determined the cause of this fire to be a failure of the secondary phase of the Gulf Tower's electrical system, which is NOT part of Duquesne Light Company's infrastructure. ________________ Original Post: Just before 9:45 p.m., Pittsburgh Bureau of Fire responded to a residential structure fire in the 4100 block of Main Street. The fire quickly escalated to three alarms. All of the residents managed to safely evacuate the building. There were exposures on both sides of the main fire building with some extension to one of the adjacent structures. Pittsburgh Police helped secure the area where large crowds had gathered. EMS was on scene, but there were no patient transports to the hospital and no injuries to firefighters. The Fire Investigation Unit is investigating the cause.",Cara Cruz
"April 22, 2020",1-Alarm Fire,Zone 6,"Pittsburgh EMS and Fire responded to a reported structure fire on the 700 block of Lorenz Avenue around 4:15 a.m. When first responders arrived to the one-alarm fire, they witnessed fire in the front of the duplex home. An unresponsive female was removed by firefighters from inside. The victim was the only person in the house. Medics transported her to a local hospital in critical condition. Firefighters were able to quickly extinguish the flames.",Maurice Matthew
"May 16, 2019",Vehicle Crash,Zone 5,"Just before 6:00 p.m. on May 16, a Pittsburgh Bureau of Police cruiser from Zone 5 collided with a civilian vehicle at the intersection of Washington Blvd. and Frankstown Avenue. The officer who was driving was treated at hospital for minor injuries. The female civilian driver was not injured, but was evaluated by EMS at the scene. There were no other vehicles involved. The Accident Investigation Unit is investigating the cause of collision.",Cara Cruz
"October 27, 2021",Robbery,Zone 3,"23-year-old Dakota Face of Pittsburgh will face charges in connection with two business robberies in Zone 3 that occured within the last half of October. Just before 5 p.m. on October 19th, officers responded to a robbery in progress at a business in the 1900 block of Wharton Street on the South Side. The actor, indentified as Face, handed employees a note demanding money from the register .He left the business on foot with an undisclosed amount of money. No weapon was seen. On October 24th just before 2 p.m., Zone 3 officers responded to an armed robbery at a business in the 2100 block of Brownsville Road. The actor, also identified as Face, told the cashier he had a weapon and demanded the money in the register. He left with over $300. No weapon was seen. No injuries were reported in either robbery. Face will be charged with Robbery and Theft by Unlawful Taking. He is in the Allegheny County Jail.",Amanda Mueller
"March 20, 2021",Stabbing,Zone 2,"------------ Original post: Pittsburgh Police officers from Zone 2 responded to 9-1-1 calls for a stabbing inside McDonald’s in the 500 block of Liberty Avenue downtown just after 2 p.m. Responding officers and EMS attended to a 12-year-old male victim with a stab wound to the neck. He was transported to the hospital in critical condition. An adult male suspect is in custody. Detectives from the Major Crimes and Crime Scene units are processing the scene, reviewing video evidence, and speaking with eyewitnesses. The investigation is ongoing.",Cara Cruz
"February 7, 2020",Attempted Robbery,Zone 4,Pittsburgh Bureau of Police responded to a report of an attempted robbery at the 1300 block of Windermere Drive around 11:30 p.m. Zone 4 officers arrived and were met by a male victim who stated he was approached by two males while walking his dog. A gun was pointed at the victim but he had nothing to give up. The suspects were described as two males in dark clothing. The suspects fled and met up with a third suspect at the corner of Windermere Drive and Raymond Street. Police are investigating.,Maurice Matthew
"July 17, 2019",Aggravated Assault,Zone 4,"Pittsburgh Bureau of Police officers from Zone 4 responded to a call for a disorderly male inside X Shadyside, a gym located at 5608 Walnut Street, just after 9:30 p.m. on July 17. The call was later upgraded to a male with a weapon who was threatening people inside. Upon arriving on scene, officers spoke with complainants who worked at the gym. They stated that a male walked into the premises barefoot, smoking a cigarette, and demanded to see the owner. He stated that he was owed money. Employees told the male suspect that the owner was not at the gym. They say he then grew more irate and threatened them stating, ""I will blow this place up."" The male was asked to leave several times, but refused. One complainant said the male then pulled out a knife and lunged at a front desk employee, verbally threatening her. While holding the knife he demanded $100. More gym patrons and employees gathered to try to deescalate the situation. Asked again to put out his cigarette, the male extinguished it in an upholstered bench. One male employee attempted to negotiate with the male to put down the knife, eventually convincing him to place it on the ground. The male was later identified by the gym's owner as a former employee who had been fired. Police arrested Daniel Abebe, 56, of Pittsburgh. He faces multiple charges and is currently being held at Allegheny County Jail.",Cara Cruz
"January 21, 2020",Stolen Vehicle / Vehicle Fire,Zone 3/ Zone 5,Pittsburgh Police officers from Zone 3 received a report of a vehicle on fire on the 900 block of Eldora Place at around 8:30 p.m. When they arrived the vehicle was fully engulfed in flames and an unknown person was spotted running from the scene. Pittsburgh Bureau of Fire arrived to put out the blaze. There were no reports of injuries or exposure of the fire to nearby structures. Earlier in the evening the vehicle had been reported stolen from Zone 5. The Fire Investigations Unit will recover the vehicle for processing and will handle the investigation.,Cara Cruz
"September 15, 2020",Arrest,,"Pittsburgh Police detectives with the Violent Crimes Unit have arrested the third suspect, 37-year-old Devon Thompson for in the shooting death of 1-year-old Zykier Young. Young was shot and killed as he slept in his bed in the 100 block of Rhine place on August 24. Thompson, turned himself into Pittsburgh Bureau of Police and was arrested for Criminal Homicide, Criminal Attempted Homicide, Aggravated Assault, and Firearms not to be carried without a License.",Maurice Matthew
"June 19, 2020",Collision,Zone 2,Pittsburgh Police responded to a reported vehicle and pedestrian collision at the intersection of Bedford Avenue and Chauncey Drive around 3:15 a.m. Zone 2 officers arrived at the scene and were notified of woman stuck by a vehicle while in the street. The victim was taken to a local hospital by a private vehicle. She was listed as critical condition. The vehicle remained at the scene but the driver fled the scene. Police are investigating.,Maurice Matthew
"November 4, 2019",Robbery,Zone 5,"Pittsburgh Police from Zone 5 responded to reports of an armed robbery of a business located on the 4900 block of Baum Blvd. around 12:40 a.m. When they arrived on scene, two male employees told them that two males wearing masks and hoods entered the store, pointed guns at them and forced them to open the cash register. One of the suspects grabbed the cash tray. The victims told police the suspects also wanted access to a safe, but that they did not know how to open it. The suspects then fled in an older model SUV with the cash register tray containing an undisclosed amount of money. Robbery detectives are investigating.",Cara Cruz
"July 13, 2021",Missing person,All zones,"UPDATE: 8:36 a.m. 07/14/21 Kirill Matveev has returned home safely. Thank you to the media and the public for sharing the information. Original post: Pittsburgh Police Special Victims Unit detectives seek the public's help to find a missing 12-year-old boy. Kirill Matveev was last seen on July 12, 2021 at 4 p.m. in the 2300 block of Arlington Avenue wearing a yellow sweater, black jeans, and white and black Vans shoes. Matveev is approximately 5'7"", 140 pounds, with brown eyes and brown hair. He is known to frequent the Arlington area. If you have any information regarding his whereabouts, please call SVU at (412) 323-7141.",Cara Cruz
"May 13, 2020",Shooting,Zone 1,"Pittsburgh Bureau of Police officers responded to a ShotSpotter alert on the 1400 block of Federal Street around 9:15 p.m. Shortly after, a male walked into a local hospital with a gunshot wound to his leg. He was admitted in stable condition. The Violent Crime Unit is investigating.",Chris Togneri
"April 19, 2021",Robbery,Zone 5,"Just before 11:45 p.m. Pittsburgh Police officers from Zone 5 responded to reports of an armed carjacking in the 7300 block of Monticello Street. A pizza delivery driver told police he was making a delivery when two males approached him with a firearm and took off with his vehicle. Officers searched for the vehicle, which was spotted going between Wilkinsburg and Pittsburgh. At one point officers observed it in the 7100 block of Frankstown Avenue and engaged in a foot pursuit with one male after he fled the vehicle. They later caught up with a male believed to be one of the suspects. He was questioned and released. The vehicle was recovered and taken to the Auto Squad for processing. The investigation is ongoing.",Cara Cruz
"August 5, 2019",Shooting/Robbery,All Zones,"UPDATE : An arrest warrant has been issued for Treysaun Lockett-Tillman in connection with a shooting, as well as the robbery of a motor vehicle, that occurred on August 1, 2019 outside the Savoy Restaurant and Nightclub in the Strip District. Lockett-Tillman, 21, of the McKeesport area, faces multiple charges including Attempted Homicide and Robbery of a Motor Vehicle. He is described as 6 feet 1 inch tall with a thin build at approximately 160 pounds. Lockett-Tillman should be considered armed and dangerous.","If you have any information on his whereabouts, please contact Pittsburgh Bureau of Police GVI detectives at (412) 323-7800</p> <p>Original incident background:</p> <p><a href=""https://pittsburghpa.gov/publicsafety/blotterview.html?id=204"">https://pittsburghpa.gov/publicsafety/blotterview.html?id=204</a></p> <p> </p> <p><img alt="""" src=""http://apps.pittsburghpa.gov/redtail/images/6712_Lockette_-Tillman.jpg"" style=""height:375px; width:300px""/></p> <strong"
"August 25, 2020",Shooting,Zone 3,PIttsburgh Police from Zone 3 responded to reports of a person shot in the 1900 block of Brownsville Road around 2 a.m. When responding officers arrived on scene they found a male victim with a graze wound to the stomach. He was transported to the hospital in stable condition. There are no arrests at this time. The investigation is ongoing.,Cara Cruz
"May 24, 2019",Cardiac Arrest,Zone 5,Pittsburgh Bureau of Police and EMS responded to a report of a woman in cardiac arrest on the 100 block of N Graham Street around 10:10 a.m. The female was found in a residence by roommates. Medics pronounced her deceased at 10:16 a.m. Police detectives are investigating.,Chris Togneri
"November 19, 2020",Homicide,Zone 5,"Pittsburgh Police homicide detectives are asking the public to be on the lookout for Terrence Washington, aka Terrence Zeppenfeldt. Washington/Zeppenfeldt, 36, of Pittsburgh is wanted for the murder of Makeida Thompson on November 10, 2020 in the 5700 block of Rippey Street. He faces charges of Criminal Homicide, Carrying a Firearm Without a License, and Persons Not to Possess. Anyone with information is asked to call Pittsburgh Police immediately at (412) 322- 7800 and ask for the Violent Crimes Unit. Original Incident Details: https://pittsburghpa.gov/publicsafety/blotterview/978",Cara Cruz
"April 3, 2020",Shots Fired,Zone 6,"Pittsburgh Police officers responded to Shotspotter alerts for the 600 block of Sherwood Avenue on Friday, April 3, 2020 around 9:10 p.m. Responding officers from Zone 6 discovered broken glass from a vehicle. Upon further investigations officers were informed of residential structures that were struck by rounds on the 500 block of Sherwood and 2900 block of Zephyr avenues. There were no reported injuries or suspect descriptions. Police are investigating.",Maurice Matthew
"May 10, 2020",Assault,Zone 2,Pittsburgh EMS and Police responded to 9-1-1 call of a fight on the 300 block of Sixth Avenue around 2:30 p.m. When Zone 2 officers arrived they found a conscious male on the sidewalk. The victim states he was assaulted by a male after a confrontation. The victim had a cut on his head and complained of a leg injury. Medic 14 transported the victim to a local hospital in stable condition. The male suspect was last seen headed towards Smithfield Street. Police are investigating,Maurice Matthew
"July 29, 2020",Vandalism/Riot,Zone 2,"DAAT investigators seek the public's assistance to identify the male featured in this series of photographs. He is suspected of contributing to the destruction of both a marked and an unmarked police vehicle during the May 30 protest downtown. During the demonstration he is seen wearing a white medical mask underneath a black and red bandana. He’s also wearing a denim jacket, blue jeans, Pirates hat, black leather gloves, New Balance shoes, and carrying an army green backpack. Anyone with information about this individual is asked to email the Damage Assessment and Accountability Task Force at DAAT@Pittsburghpa.gov or call (412) 323-7800 and ask for the task force. Contributors will remain anonymous.",Cara Cruz
"September 3, 2019",Structure Fire,Knoxville,"Pittsburgh Fire, Police and EMS responded to a report of a house on fire on the 200 block of Reifert Street around 11:40 a.m. The fire started in a house at 245 Reifert and spread to homes on both sides (at 243 and 247 Reifert). The fire grew to 5 alarms before firefighters got it under control around 1 p.m. Initial reports were that people were trapped on a roof and had to toss a toddler to Good Samaritans below. Medics evaluated and released three people, including the toddler. No civilians were injured. A police officer suffered an injured an ankle while trying to stop people from running back inside a burning home. The officer was treated at UPMC Mercy. Three firefighters were injured, including one who was transported to UPMC Mercy with a minor head injury and two who were treated on scene for heat exhaustion. The Fire Investigation Unit, made up of investigators from the Pittsburgh Bureau of Fire and detectives from the Pittsburgh Bureau of Police, will investigate the cause of the fire. UPDATE: The injuries now stand at eight with four transports. Two firefighters, one police officer and one civilian were transported. Two firefighters and two civilians were evaluated and released on scene.",Chris Togneri
"September 15, 2019",Shooting,Zone 2,"Pittsburgh Bureau of Police officers investigating a report of drug activity on Chauncey Street in the Hill District heard multiple shots fired nearby around 2:25 a.m. and responded. While investigating the shots fired, they heard more gunfire in the area. They then found a vehicle near the intersection of Wylie Avenue and Watt Street with a 36-year-old female inside. The woman had a wound to the side of her head, which could have been a grazing wound or the result of shrapnel. Medics transported the victim to a local hospital in stable condition. Police are investigating.",Chris Togneri
"June 16, 2021",Collisions,Zone 1,"At around 5:40 p.m. Pittsburgh Police from Zone 1, Fire and EMS responded to Route 28 at the 31st Bridge for a vehicle collision that set off a chain reaction. First responders on scene discovered that there had been three collisions involving a total of 9 vehicles. EMS Rescue 1 and multiple medic units responded. One patient was transported to the hospital in stable condition. There were no major injuries. Pittsburgh Bureau of Fire cleaned up as many as 30 gallons of diesel fuel that had spilled. In addition to the initial collisions, a Zone 2 unit responding to the scene from the Strip District crossed the bridge with lights and sirens on and was struck by a civilian vehicle. There were no injuries to either the civilian or the officer, but the police vehicle had to be towed. The investigation is ongoing.",Cara Cruz
"October 2, 2020",Shooting,Zone 1,"of the scene, police were alerted to a walk-in gunshot wound victim at a local hospital. The victim was dropped off by a private vehicle. The Mobile Crime Unit processed the scene. There were no other injuries or suspect descriptions. The investigation is ongoing.",Maurice Matthew
"December 15, 2020",Homicide,Zone 5,"Pittsburgh Police continue to search for Terrence Washington, a homicide suspect in the shooting death of Makeida Thompson, an Allegheny County juvenile probation officer. On Nov. 10, Zone 5 officers responded to 9-1-1 calls for a person shot in the 5700 block of Rippey Street just after 11 a.m. Officers located Thompson, 32, inside a residence with a gunshot wound to the head. She was pronounced dead at the scene. Washington, 36, who also goes by the name Terrence Zeppenfeldt is charged with homicide and firearm violations. Police urge anyone with knowledge of the homicide or of Washington’s whereabouts to contact Violent Crime Unit detectives at (412) 861-1845.",Chris Togneri
"January 6, 2020",Fire,Zone 4,Firefighters with the Pittsburgh Bureau of Fire responded to a 1-alarm residential structure fire on the 5600 block of 2nd Avenue in Hazelwood just after 7:30 a.m. When they arrived on scene the fire appeared to be contained to a semi-detached house on the east end of three row houses. The intial call indicated that there may be children in the house. Firefighters were able to very quickly able to determine that the occupants of the house were not inside. Firefighters had already ensured that the residents had been safely evacuated from the other two houses. The fire was deemed to be under control before 8:15 a.m. The fire did not spread to the two other houses. No residents or firefighters were hurt. Pittsburgh EMS and Police were also on scene. The cause of the fire is under investigation.,Cara Cruz
"September 21, 2021",Shooting,Zone 5,"Police from Zone 5 responded to Lemington Avenue just past Lincoln Avenue for reports of an individual who was shot just before 11:30 p.m. Officers located a male victim who was shot in the leg. He was conscious and talking when medics transported him to the hospital in stable condition. Around the same time, police received information that a second male victim arrived at a local hospital by private means in critical condition with a gunshot wound to the chest. Violent Crimes Unit detectives and the Mobile Crime Unit arrived to investigate and process evidence from both scenes, which are related. The investigation is ongoing.",Cara Cruz
