headline,link,date,author,description,tags
20 TV journalists receive IRE fellowships,https://www.ire.org/20-tv-journalists-receive-ire-fellowships/,"August 3, 2021",IRE Admin,IRE recently awarded 20 fellowships to its upcoming TV Data Journalism Bootcamp thanks to the generosity of the Knight Foundation. Recipients will attend the bootcamp taking place in September.,"fellowship, investigative journalism, journalism, Training"
Five journalists receive IRE fellowships,https://www.ire.org/five-journalists-receive-ire-fellowships/,"July 28, 2021",IRE Admin,IRE recently awarded five fellowships to its upcoming Data Journalism Bootcamp thanks to the generosity of financial supporters. Recipients will attend the bootcamp taking place in August.,"fellowship, investigative journalism"
Longtime IRE leader and investigative journalist dies at 83,https://www.ire.org/longtime-ire-leader-and-investigative-journalist-dies-at-83/,"July 17, 2021",IRE Admin,"Jim Polk, a longtime IRE leader and member, died on July 15th in his home in Atlanta. Polk, 83, had a distinguished career as an investigative journalist in both print and broadcast, winning a Pulitzer Prize in 1974 for his coverage of Watergate.",jim polk
Six journalists elected to IRE Board of Directors,https://www.ire.org/six-journalists-elected-to-ire-board-of-directors/,"June 19, 2021",IRE Admin,"Three incumbents and three newcomers were elected to two-year terms for the IRE Board of Directors in election results announced Saturday. IRE members also elected two members of the Contest Committee, which judges the IRE Awards.","board election, Board of Directors, IRE21"
Louisiana Attorney General wins 2021 IRE Golden Padlock Award for most secretive public official in the U.S.,https://www.ire.org/louisiana-attorney-general-wins-2021-ire-golden-padlock-award-for-most-secretive-public-official-in-the-u-s/,"June 16, 2021",IRE Admin,Louisiana Attorney General Jeff Landry has won the Investigative Reporters and Editors 2021 Golden Padlock Award honoring the most secretive public agency or official in the U.S.,"wards, golden padlock"
IRE to host hybrid event in October focused on equity issues,https://www.ire.org/ire-to-host-hybrid-event-in-october-focused-on-equity-issues/,"June 14, 2021",Denise Malan,"IRE is returning to in-person events with a symposium in Baltimore in October focusing on diversity, belonging, equity and inclusion (DBEI) issues for newsrooms.","dbei, diversity, investigative journalism, Training"
Don Bolles Medal awarded for courageous China reporting,https://www.ire.org/don-bolles-medal-awarded-for-courageous-china-reporting/,"June 14, 2021",IRE Admin,"IRE's Don Bolles Medal for 2021 has been awarded to four investigative journalists who have courageously worked to expose human rights abuses in China, as well as that country's handling of the coronavirus crisis, and faced retaliation from the government of China for their reporting.","wards, Don Bolles Medal, investigative journalism"
Four finalists selected for 2021 Golden Padlock Award,https://www.ire.org/four-finalists-chosen-for-2021-golden-padlock-award/,"June 9, 2021",IRE Admin,"Investigative Reporters and Editors has named a competitive field of finalists for its 2021 Golden Padlock Award honoring the most secretive public agency or official in the U.S. Drawn from nominations from journalists across the country, four finalists were chosen for their extraordinary commitment to secrecy, ranging from suing a reporter over a request for public information, denying public access to a report detailing institutional failures that allowed ongoing abuse of children, filing subpoenas to access reporters’ research and deleting communications sought by reporters.","wards, golden padlock, investigative journalism"
Join the IRE21 mentorship program,https://www.ire.org/join-the-ire21-mentorship-program/,"May 20, 2021",Denise Malan,"The 2021 IRE virtual conference will feature IRE’s partnership with JournalismMentors.com, where IRE members can sign up to mentor other professional journalists at various stages in their careers as well as student journalists. Any journalist seeking mentorship can visit the site to find a mentor who suits their needs and sign up for an appointment to meet the mentor virtually.","investigative journalism, mentoring, mentorship, Training"
Ron Nixon to keynote IRE21 virtual conference,https://www.ire.org/ron-nixon-to-keynote-ire21-virtual-conference/,"May 20, 2021",Denise Malan,"Ron Nixon, global investigations editor for The Associated Press and a longtime IRE member, will be the keynote speaker at the IRE21 virtual conference in June.","investigative journalism, Ron Nixon, Training"
Registration opens for IRE21 virtual conference with $150 early bird price,https://www.ire.org/registration-opens-for-ire21-virtual-conference-with-150-early-bird-price/,"April 14, 2021",Denise Malan,"Registration is open for IRE’s virtual 2021 national conference, which will feature more than 120 live panels, demos, and networking sessions; data skill labs and fun ways to connect with your fellow journalists.","investigative journalism, IRE Conference, Training"
IRE partners with Journalism Mentors to provide free mentorship,https://www.ire.org/ire-partners-with-journalism-mentors-to-provide-free-mentorship/,"April 9, 2021",IRE Admin,IRE is partnering with the Media Mentors program at JournalismMentors.com to provide mentorship and guidance to journalists looking to build skills in data and watchdog reporting.,"investigative, journalism, mentorship"
IRE names veteran journalist as next executive director,https://www.ire.org/ire-names-veteran-journalist-as-next-executive-director/,"April 7, 2021",IRE Admin,"The IRE board is thrilled to announce that Diana R. Fuentes will serve as the next executive director of the 6,000-member organization. She is the first person of color to serve in that role.",
"Run for IRE Board, Contest Committee",https://www.ire.org/run-for-ire-board-contest-committee/,"April 6, 2021",Denise Malan,"IRE is accepting applications for candidates for the IRE Board of Directors and for judges for the IRE Awards. This year, six of the board’s 13 seats are up for election. Two Contest Committee members, who judge the IRE Awards, also will be elected. Board seats are two-year terms while contest committee seats are one-year terms. The initial filing period ends Friday, May 7.","board election, Board of Directors, election, IRE Board"
Announcing the 2020 IRE Award winners,https://www.ire.org/announcing-the-2020-ire-award-winners/,"April 5, 2021",Lauren Grandestaff,"Investigations that revealed corruption leading to poor quality of a state’s nursing homes, peeled back the curtain on the dark side of banking worldwide, and exposed a broken system where law enforcement agencies fail to track criminal officers are among the winners of the 2020 Investigative Reporters and Editors Awards.","wards, IRE award winners, IRE Awards"
Nominate a journalist for the Don Bolles Medal,https://www.ire.org/nominate-a-journalist-for-the-don-bolles-medal-3/,"March 18, 2021",IRE Admin,Do you know an investigative journalist who has exhibited extraordinary courage in standing up against intimidation or efforts to suppress the truth about matters of public importance?,wards
IRE21 Conference going virtual,https://www.ire.org/ire21-conference-going-virtual-send-your-ideas-by-march-22/,"March 2, 2021",IRE Admin,"The 2021 IRE Conference will again be a virtual event, bringing together members for five days of training, conversations and networking online June 14-18.","Conference, investigative journalism, IRE21"
How to log in and join the #NICAR21 conference,https://www.ire.org/how-to-log-in-and-join-the-nicar21-conference/,"February 26, 2021",IRE Admin,"Welcome to the virtual #NICAR21 conference! If you’ve already registered, here’s what you need to know to access the conference.",data journalism
IRE announces new online Master Classes available to all members,https://www.ire.org/ire-announces-new-online-master-classes-available-to-all-members/,"January 21, 2021",IRE Admin,"IRE is bringing our popular Master Classes online this year, making them available to all IRE members.","data science, investigative journalism, Training"
IRE announces winners of 2020 Philip Meyer Journalism Award,https://www.ire.org/ire-announces-winners-of-2020-philip-meyer-journalism-award/,"January 19, 2021",Lauren Grandestaff,The New York Times’ groundbreaking coronavirus tracking project took first place in the 2020 Philip Meyer Journalism Awards. Other top awards go to investigations that uncovered how deeply race and […],"wards, investigative journalism"
Register for the NICAR21 virtual conference,https://www.ire.org/nicar21-virtual-conference/,"January 12, 2021",Denise Malan,"Registration is open for IRE’s virtual NICAR21 data journalism conference, which runs March 3-5 and will feature hands-on data classes, panels and discussions, and opportunities to network with fellow data journalists.","data journalism, data science, investigative journalism, Training"
Malan to serve as IRE interim executive director,https://www.ire.org/malan-to-serve-as-ire-interim-executive-director/,"January 11, 2021",IRE Admin,Denise Malan will serve as IRE interim executive director.,
Tips on navigating IRE’s new website,https://www.ire.org/tips-on-navigating-ires-new-website/,"January 4, 2021",Doug Haddix,Follow these tips to ensure the best experience on IRE's new website.,website
IRE office closes for holidays,https://www.ire.org/ire-office-closes-for-holidays/,"December 22, 2020",Doug Haddix,"The IRE office will be closed from Thursday, December 24, until Monday, January 4. If you need assistance during the break, please send an email to info@ire.org. Responses may be […]",
Four journalists receive IRE’s 2021 Journalist of Color Investigative Reporting Fellowship,https://www.ire.org/four-journalists-receive-ires-2021-journalist-of-color-investigative-reporting-fellowship/,"December 17, 2020",Chris Vachon,"Rowaida Abdelaziz of HuffPost, Carlos Ballesteros of Injustice Watch, Terry Jones of The Advocate, and Ishan Thakore, an independent journalist, will serve as IRE’s 2021 Journalists of Color Investigative Reporting Fellows.","fellowship, journalists of color"
Call for entries: 2020 IRE Awards,https://www.ire.org/call-for-entries-2020-ire-awards/,"December 14, 2020",Lauren Grandestaff,"It’s time to gather your best stories of the year! The 2020 IRE Awards contest is now open for submissions, and we can’t wait to see what you’ve done.","contest, IRE Awards"
IRE announces 2020 Freelance Fellowship recipients,https://www.ire.org/ire-announces-2020-freelance-fellowship-recipients/,"December 14, 2020",Chris Vachon,"Projects investigating senior care during the pandemic, microfinance financial networks and the lack of protection for coal ash workers in Tennessee have been awarded IRE Freelance Fellowships.","fellowship, Freelance Fellowship, scholarships"
IRE’s TV Watchdog Workshop series moves online in 2021,https://www.ire.org/ires-tv-watchdog-workshop-series-moves-online-in-2021/,"November 20, 2020",Denise Malan,"IRE’s TV Watchdog Workshops are going virtual in 2021, allowing us to reach more journalists and keep everyone safe during the pandemic. These half-day workshops are open to broadcast journalists […]",
IRE prepares to launch new website,https://www.ire.org/ire-prepares-to-launch-new-website/,"November 19, 2020",Doug Haddix,"A fully redesigned IRE website will debut in December with improved navigation, easier event registration and a more robust search of Resource Center materials. The transition to a new website […]",
IRE begins search for new executive director,https://www.ire.org/ire-begins-search-for-new-executive-director/,"November 16, 2020",,Investigative Reporters & Editors has launched its search for a new executive director to lead the world’s largest organization supporting investigative and data journalism. The position involves overseeing a dynamic […],"careers, executive director, investigative journalism, jobs, nonprofit"
"Help IRE build a successful, unique NICAR21 online",https://www.ire.org/help-ire-build-a-successful-unique-nicar21-online/,"November 11, 2020",Doug Haddix,"NICAR21 is moving online in March, and IRE needs your help to build a strong and successful virtual data journalism conference. We are gathering ideas from our community via this […]",NICAR
Apply for free IRE membership renewal through Support a Journalist Program,https://www.ire.org/apply-for-free-ire-membership-renewal-through-support-a-journalist-program/,"October 29, 2020",Doug Haddix,"October 29, 2020 Current and former IRE members who have been furloughed or laid off since March 2019 qualify for a complimentary one-year IRE membership renewal through IRE’s Support a […]",membership
IRE executive director search committee selected,https://www.ire.org/ire-executive-director-search-committee-selected/,"October 28, 2020",Doug Haddix,"October 28, 2020 Six veterans in the field of investigative journalism have been appointed as members of IRE’s executive director search committee. IRE board president Cheryl W. Thompson has appointed […]",Board of Directors
Access IRE20 conference recordings and materials until September 2021,https://www.ire.org/access-ire20-conference-recordings-and-materials-until-september-2021/,"October 15, 2020",Doug Haddix,"October 15, 2020 Journalists, journalism educators and students can still register and participate in IRE’s virtual 2020 national conference, which features keynote speaker Ronan Farrow and 150 recorded sessions. Professional […]",IRE Conference
Apply to be an IRE Educator of Color Fellow,https://www.ire.org/apply-to-be-an-ire-educator-of-color-fellow/,"October 14, 2020",Doug Haddix,"October 14, 2020 Educators of color can apply for IRE’s Educator of Color Fellowship to attend an online Data Bootcamp for Educators.  The bootcamp will be virtual Jan. 4-7, 11 […]","diversity, fellowships, scholarships"
Call for entries: 2020 Philip Meyer Award,https://www.ire.org/call-for-entries-2020-philip-meyer-award/,"October 12, 2020",Doug Haddix,"October 12, 2020 It’s once again time to enter the Philip Meyer Journalism Award contest. Entries are now being accepted online, through Nov. 15. Established in 2005, the award was created […]","contest, Meyer Awards"
IRE to launch search for a new executive director,https://www.ire.org/ire-to-launch-search-for-a-new-executive-director/,"October 8, 2020",Doug Haddix,"October 8, 2020 The IRE Board of Directors will launch a national search to find a successor to IRE Executive Director Doug Haddix, who has announced his resignation, effective in […]",Board of Directors
IRE awards more than 180 fellowships to #IRE20 virtual conference,https://www.ire.org/ire-awards-more-than-180-fellowships-to-ire20-virtual-conference/,"October 1, 2020",Doug Haddix,"October 1, 2020 Investigative Reporters and Editors awarded 189 fellowships to its first-ever virtual conference Sept. 21-25. The fellowships included registration to the conference (a $175 value) and an IRE […]","fellowships, IRE Conference, scholarships"
Detroit officials win 2020 IRE Golden Padlock Award,https://www.ire.org/detroit-officials-win-2020-ire-golden-padlock-award/,"September 23, 2020",Doug Haddix,"September 23, 2020 Investigative Reporters and Editors has named the City of Detroit and Mayor Mike Duggan as the winner of its annual Golden Padlock Award, which recognizes the most […]","contest, golden padlock"
IRE receives endowed gift to train college journalism students of color,https://www.ire.org/ire-receives-endowed-gift-to-train-college-journalism-students-of-color/,"September 13, 2020",Doug Haddix,"September 13, 2020 An endowed gift to IRE from television journalist Rick Gevers and his wife, Karen Burns, will fund investigative journalism training for college students of color. With the […]","diversity, giving"
Apply for the IRE  Journalist of Color Investigative Reporting Fellowship,https://www.ire.org/apply-for-the-ire-journalist-of-color-investigative-reporting-fellowship/,"September 2, 2020",Doug Haddix,"September 2, 2020 We’re looking for IRE’s next Journalist of Color Investigative Reporting Fellows! This yearlong program is designed to support diversity in investigative journalism. The 2021 fellowship is open […]","diversity, fellowship"
Sources and Sexual Harassment: Advice for Reporters and Editors,https://www.ire.org/sources-and-sexual-harassment-advice-for-reporters-and-editors/,"September 1, 2020",Doug Haddix,"September 1, 2020 By Bethany Barnes Editor's Note: This story originally appeared in the IRE Journal Quarter 3 issue. Members can download and read the full issue here. Non-members can […]",
Participate in the #IRE20 kickoff video,https://www.ire.org/participate-in-the-ire20-kickoff-video/,"August 20, 2020",Doug Haddix,"August 20, 2020 If you’d like to be featured in the #IRE20 kickoff video that will be shown during the Investigative Reporters and Editors virtual conference Sept. 21-25, follow these […]",IRE Conference
IRE launches slate of online data bootcamps this fall and spring,https://www.ire.org/ire-launches-slate-of-online-data-bootcamps-this-fall-and-spring/,"August 10, 2020",Doug Haddix,"August 10, 2020 IRE is announcing a series of online data mini-bootcamps to train members in data skills such as spreadsheets, SQL, data visualization and programming. Each mini-bootcamp lasts two […]",bootcamp
Apply now to participate in the #IRE20 conference mentor program,https://www.ire.org/apply-now-to-participate-in-the-ire20-conference-mentor-program/,"July 16, 2020",Doug Haddix,"July 16, 2020 IRE is now accepting applications for our popular conference mentoring program. If you plan to attend the IRE 2020 virtual conference and you’re looking for a mentor […]","IRE Conference, mentorship"
New NICAR Course lessons coming for fall 2020 semester,https://www.ire.org/new-nicar-course-lessons-coming-for-fall-2020-semester/,"July 14, 2020",Doug Haddix,"July 14, 2020 IRE’s popular NICAR Course Packs will be fully updated for the latest versions of Excel on PC and Mac, plus a new Google Sheets edition, for use […]","data, Educators"
Nine journalists receive IRE fellowships,https://www.ire.org/nine-journalists-receive-ire-fellowships-3/,"July 9, 2020",Doug Haddix,"July 9, 2020 IRE recently awarded six fellowships to educators of color to IRE’s first Online Data Bootcamp for Educators and three fellowships to educators of color to IRE’s first […]","diversity, fellowships, scholarships"
Don Bolles Medal recognizes four journalists targeted by extremist groups,https://www.ire.org/don-bolles-medal-recognizes-four-journalists-targeted-by-extremist-groups/,"July 1, 2020",Doug Haddix,"July 1, 2020 Four journalists, targeted by extremist groups in retaliation for their reporting, are recipients of the 2020 Don Bolles Medal from Investigative Reporters and Editors for their courageous […]","contest, Don Bolles Medal"
IRE Board of Directors diversifies its Executive Committee,https://www.ire.org/ire-board-of-directors-diversifies-its-executive-committee/,"June 30, 2020",Doug Haddix,"June 30, 2020 Cheryl W. Thompson of NPR will serve another year as IRE’s board president, the full board decided unanimously today during a livestreamed video meeting. Thompson, IRE’s first […]",Board of Directors
Eight journalists receive IRE fellowships,https://www.ire.org/eight-journalists-receive-ire-fellowships-2/,"June 29, 2020",Doug Haddix,"June 29, 2020 IRE recently awarded eight fellowships to upcoming Data Journalism Bootcamps thanks to the generosity of financial supporters. Recipients will either attend the August Online Data Journalism Bootcamp […]","diversity, fellowships, scholarships"
IRE Board to elect new officers in Tuesday public meeting,https://www.ire.org/ire-board-to-elect-new-officers-in-tuesday-public-meeting/,"June 26, 2020",Doug Haddix,"June 26, 2020 The IRE Board of Directors will elect its new Executive Committee members during a livestream video meeting at 4 p.m. Eastern on Tuesday (June 30). Registration is […]",Board of Directors
"IRE Executive Committee resigns, paving way for new election of board officers",https://www.ire.org/ire-executive-committee-resigns-paving-way-for-new-election-of-board-officers/,"June 24, 2020",hdcoadmin,The Executive Committee of the IRE Board of Directors sent the following letter to the full Board of Directors this afternoon: Dear members of the IRE Board of Directors: On […],Board of Directors
Seven journalists elected to IRE Board of Directors,https://www.ire.org/seven-journalists-elected-to-ire-board-of-directors/,"June 20, 2020",Erica Martin,"Two incumbents and five newcomers won two-year terms for the IRE Board of Directors in election results announced Saturday. IRE members also elected two members of the Contest Committee, which judges the IRE Awards.","Board of Directors, IRE Board"
"IRE national conference goes virtual, enabling global attendance",https://www.ire.org/ire-national-conference-goes-virtual-enabling-global-attendance/,"June 18, 2020",Erica Martin,"Due to the ongoing coronavirus pandemic, the 2020 IRE conference will be a virtual event rather than an in-person gathering. For the first time, attendees across the United States and […]","Conference, IRE 2020, online, virtual conference"
IRE forecasts balanced budgets,https://www.ire.org/ire-forecasts-balanced-budgets/,"June 11, 2020",Erica Martin,"Despite the ongoing fallout from the coronavirus pandemic, IRE expects to close the current fiscal year on June 30 without posting a deficit. In addition, IRE forecasts a balanced budget […]",
Register for IRE member events in June,https://www.ire.org/register-for-ire-member-events-in-june/,"June 8, 2020",Erica Martin,"IRE is hosting three important virtual events this month -- two of which require advance registration (for online security): IRE Board of Directors meeting, 2-5 p.m. EDT on Thursday, June […]",
IRE board issues statement in wake of protests about racial injustice,https://www.ire.org/ire-board-issues-statement-in-wake-of-protests-about-racial-injustice/,"June 3, 2020",Erica Martin,The board of Investigative Reporters and Editors calls on all levels of government across the country to protect the rights of citizens to assemble and protest against racial injustice and […],Board of Directors
IRE offers free resources to investigate police abuses and misconduct,https://www.ire.org/ire-offers-free-resources-to-investigate-police-abuses-and-misconduct/,"June 2, 2020",Erica Martin,"As a public service, IRE is making key resources available for free to all journalists interested in investigating police use of force, misconduct and corruption. Typically, these tipsheets, presentations and […]",
New ‘Investigative Reporter’s Handbook’ now available,https://www.ire.org/new-investigative-reporters-handbook-now-available/,"June 1, 2020",Erica Martin,A thoroughly rewritten and extensively updated sixth edition of “The Investigative Reporter’s Handbook” can be ordered online in time for the fall academic semester. IRE members qualify for discounted pricing.,"book, handbook, investigative reporter"
"The Newsroom Guide: A living document shapes inclusive language, coverage",https://www.ire.org/the-newsroom-guide-a-living-document-shapes-inclusive-language-coverage/,"May 29, 2020",hdcoadmin,"By Lynn Jacobson, The Seattle Times Between December 2015 and June 2017, The Seattle Times had several opportunities to practice the art of the apology. In that period, the newspaper […]","diversity, guide, journalism"
Publication without representation,https://www.ire.org/publication-without-representation/,"May 20, 2020",hdcoadmin,"By Ron Nixon, The Associated Press In 1895, journalist Ida B. Wells dropped a bombshell investigation into the lynching of African Americans across the nation. Using data she gathered from […]","IRE diversity, IRE Diversity issue"
Cast your vote for the IRE Board of Directors,https://www.ire.org/cast-your-vote-for-the-ire-board-of-directors-5/,"May 19, 2020",Erica Martin,"Starting today, IRE members can vote online for the IRE Board of Directors and Contest Committee. Ballots will be sent to the primary e-mail listed in your membership profile. Seven […]","Board of Directors, election, IRE membership"
IRE launches online Data Journalism Mini-Bootcamp in spreadsheets and data viz,https://www.ire.org/ire-launches-online-data-journalism-mini-bootcamp-in-spreadsheets-and-data-viz/,"May 7, 2020",Erica Martin,Update (May 20): The first camp set for June 15-16 is sold out. Another mini-bootcamp will be offered online June 29-30. See below for registration details. Registration is open for […],"bootcamp, data, journalism, Training"
IRE membership: a ‘life vest’ in rough waters,https://www.ire.org/ire-membership-a-life-vest-in-rough-waters/,"May 1, 2020",Erica Martin,Ron Campbell credits IRE for rescuing him after being laid off in 2014 from The Orange County Register. “I had a new full-time job within five months and I had […],"community, help, investigative reporter, journalism, journalist, resource, support"
How to be an ally in the newsroom,https://www.ire.org/how-to-be-an-ally-in-the-newsroom/,"April 30, 2020",hdcoadmin,"Five journalists share tips and ideas for creating a culture of inclusivity, regardless of job title, in their newsrooms. Ashley Graham, WLNS (Lansing, Michigan): ""It’s important for everyone in the […]","lly, diversity, IRE and diversity, IRE Journal"
"Contribute to IRE’s Support a Journalist program, help renew memberships",https://www.ire.org/contribute-to-ires-support-a-journalist-program-help-renew-memberships/,"April 24, 2020",Erica Martin,"The fallout of the COVID-19 pandemic has led to more layoffs within the journalism industry. During these difficult times, IRE has started the Support a Journalist program to ensure members […]","donate, furloughed, laid off, support a journalist"
IRE responds to financial disruption due to coronavirus,https://www.ire.org/ire-responds-to-financial-disruption-due-to-coronavirus/,"April 17, 2020",Erica Martin,"IRE has taken several steps in recent weeks to deal with financial fallout from the novel coronavirus pandemic. In early March, IRE decided to postpone all in-person workshops, data bootcamps […]",
IRE makes data training videos free for one year,https://www.ire.org/ire-makes-data-training-videos-free-for-one-year/,"April 8, 2020",Erica Martin,"IRE is relaunching its NICAR-Learn library of data tool tutorials, with new videos and free access for one year. NICAR-Learn is a hub of almost 60 short, skill-based videos for […]","computer-assisted reporting, free, journalist, learn, Tools"
Announcing the 2019 IRE Award winners,https://www.ire.org/announcing-the-2019-ire-award-winners/,"April 6, 2020",Erica Martin,"Investigations that proved Russian jets bombed Syrian hospitals, documented dangerous solitary confinement of vulnerable immigrants, revealed conditions inside Amazon warehouses and uncovered sexual abuse of children are among the winners […]","2019 IRE Awards, IRE Awards"
Top tips from health reporters and officials on covering COVID-19,https://www.ire.org/top-tips-from-health-reporters-and-officials-on-covering-covid-19/,"April 3, 2020",Erica Martin,"In early March, we put together a panel at the 2020 NICAR Conference on how to cover the response to COVID-19. Although much has changed in the past month, there […]","coronavirus, covid19, reporting"
"Board elections, IRE annual meeting set",https://www.ire.org/board-elections-ire-annual-meeting-set/,"April 1, 2020",Erica Martin,"Although the IRE national conference has been postponed until late August, IRE will follow the same calendar as it has in recent years for board elections and the annual membership […]",
"Hearst Foundations donate $50,000 to IRE Journalist of Color Fellowship",https://www.ire.org/hearst-foundations-donate-50000-to-ire-journalist-of-color-fellowship/,"April 1, 2020",Erica Martin,"The Hearst Foundations are contributing $50,000 to support IRE’s Journalist of Color Investigative Reporting Fellowship.  The yearlong fellowship, which launched in 2019, is intended to prepare and support journalists of […]","diversity, fellowship, giving, hearst foundations, journalism, journalists of color"
IRE offers new online training,https://www.ire.org/ire-schedules-free-webinars-amid-covid-19-crisis/,"March 23, 2020",Erica Martin,"During the coronavirus crisis, IRE is offering a series of webinars and recorded trainings to help our members and all journalists in these unprecedented times.  The webinars are free and […]","raining, webinar"
IRE national conference rescheduled to late August,https://www.ire.org/ire-national-conference-rescheduled-to-late-august/,"March 19, 2020",Erica Martin,"Because of the COVID-19 pandemic, the #IRE20 national conference has been rescheduled for Aug. 27-30. The conference will be held in the same location: the Gaylord National hotel in National […]","IRE Conference, IRE20"
IRE postpones spring workshops due to coronavirus,https://www.ire.org/ire-postpones-spring-workshops-due-to-coronavirus/,"March 10, 2020",hdcoadmin,"IRE Watchdog Workshops scheduled this spring in Miami, Pittsburgh and Salt Lake City will be postponed because of the rapidly shifting landscape involving coronavirus. Workshop registration fees will be refunded […]",News
IRE monitors NICAR20 coronavirus developments,https://www.ire.org/ire-monitors-nicar20-coronavirus-developments/,"March 10, 2020",hdcoadmin,"SECOND NICAR20 ATTENDEE TESTS PRESUMPTIVELY POSITIVE FOR NOVEL CORONAVIRUS A second NICAR20 attendee has received a presumptively positive test result for the COVID-19 virus, IRE learned today (March 16). The […]",
IRE postpones spring workshops due to coronavirus,https://www.ire.org/ire-postpones-spring-workshops-due-to-coronavirus-2/,"March 10, 2020",Erica Martin,"IRE Watchdog Workshops scheduled this spring in Miami, Pittsburgh and Salt Lake City will be postponed because of the rapidly shifting landscape involving coronavirus. Workshop registration fees will be refunded […]","raining, Watchdog Workshop"
IRE monitors NICAR20 coronavirus developments,https://www.ire.org/ire-monitors-nicar20-coronavirus-developments-2/,"March 10, 2020",Erica Martin,UPDATES: Self-isolation period ends after #NICAR20 Second NICAR20 attendee tests presumptively positive for novel coronavirus Spouse of attendee tests negative for coronavirus NICAR20 attendee tests presumptively positive for coronavirus Frequently […],
Nominate a journalist for the Don Bolles Medal,https://www.ire.org/nominate-a-journalist-for-the-don-bolles-medal/,"March 2, 2020",hdcoadmin,"By Phil Williams, WTVF-Nashville In my mind, Don Bolles had always been a hero of journalism — a reporter who stood up against intimidation and eventually paid the price with […]",
Nominate a journalist for the Don Bolles Medal,https://www.ire.org/nominate-a-journalist-for-the-don-bolles-medal-2-2/,"March 2, 2020",hdcoadmin,"By Phil Williams, WTVF-Nashville In my mind, Don Bolles had always been a hero of journalism — a reporter who stood up against intimidation and eventually paid the price with […]","Don Bolles, Don Bolles Medal"
IRE Awards questionnaire packs now available,https://www.ire.org/ire-awards-questionnaire-packs-now-available/,"February 19, 2020",hdcoadmin,"For the first time, IRE will offer its members the option of buying digital contest questionnaire packs to explore the best investigative work published in 2019. Anyone who enters the […]",IRE Awards
IRE Awards questionnaire packs now available,https://www.ire.org/ire-awards-questionnaire-packs-now-available-2/,"February 19, 2020",Erica Martin,"For the first time, IRE will offer its members the option of buying digital contest questionnaire packs to explore the best investigative work published in 2019. Anyone who enters the […]","Contest Questionnaires, IRE Awards"
